job_id,session_id,signal_scope,current_step,current_episode,current_vehicles,best_reward,latest_reward,average_wait_time,congestion_score,stopped_vehicles,checkpoint_path,model_output_dir,created_at_utc
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,0,0,60,,,0.0,0.0,0,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:31:46.214762+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,1,0,60,1582.55078607504,1582.55078607504,0.0,0.0,0,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:31:52.223267+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,10,0,60,1582.55078607504,1453.9618452645225,0.32,0.317,19,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:32:01.427128+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,20,0,60,1582.55078607504,1244.175632051106,0.7,0.7,42,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:32:11.621156+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,30,0,60,1582.55078607504,1366.074331716699,0.42,0.417,25,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:32:24.710719+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,40,0,60,1582.55078607504,1163.974435778829,0.82,0.817,49,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:32:47.759166+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,50,0,60,1582.55078607504,1398.5348029526601,0.28,0.283,17,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:33:11.213482+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,60,0,60,1582.55078607504,1217.8389993699768,0.67,0.667,40,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:33:47.256464+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,70,0,60,1582.55078607504,1368.4322198996474,0.43,0.433,26,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:34:14.872406+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,80,0,60,1582.55078607504,1285.18342599584,0.67,0.667,40,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:34:30.542950+00:00
